Country,Alcoholic Beverages,Animal Products,Animal fats,Vegetable Oils,Sugar & Sweeteners,Cereals - Excluding Beer,Vegetables,Obesity,Population,confirmed,deaths,Positive Test Rate,Death Rate
Bolivia,2.8956,11.7799,0.0889,0.3573,2.5724,12.3079,3.2224,18.7,11633000.0,124205,7193,1.07,5.79
Egypt,0.0722,6.7374,0.0896,0.3839,1.7984,17.5311,10.6559,31.1,100803000.0,100557,5590,0.1,5.56
Spain,5.3152,18.3382,0.2357,1.5122,1.8482,6.0548,7.8139,27.1,47635000.0,554143,29699,1.16,5.36
China,2.3224,13.424000000000001,0.0866,0.579,3.1065,8.9298,13.099,6.6,1402385000.0,90127,4733,0.01,5.25
Switzerland,4.9978,22.4227,0.4802,1.0637,2.9737,5.9818,4.9478,21.2,8634000.0,45711,2020,0.53,4.42
Mali,2.8904,10.1637,0.0444,0.5144,0.8811,19.8566,7.2943,7.1,20251000.0,2909,128,0.01,4.4
Peru,3.8623,8.6638,0.0316,0.5066,1.7339,11.814,4.8044,19.1,32824000.0,702776,30236,2.14,4.3
North Macedonia,1.9045,12.0639,0.3784,0.9505,2.9104,7.3937,14.5512,23.9,2080000.0,15414,637,0.74,4.13
Tanzania,4.5185,4.8022,0.0403,0.9136,1.0345,10.4453,3.952,7.1,59734000.0,509,21,0.0,4.13
Indonesia,0.0794,6.2575,0.0309,0.8579,1.8481,24.3918,3.8558,6.9,271739000.0,207203,8456,0.08,4.08
Romania,4.7679,15.9287,0.3474,0.7301,1.4126,8.0412,9.3641,24.5,19241000.0,99684,4065,0.52,4.08
Angola,5.8087,4.9278,0.055999999999999994,0.6463,1.8495,9.1085,2.3041,6.8,32522000.0,3217,130,0.01,4.04
Bulgaria,7.0834,17.2483,0.2488,0.7085,2.3627,8.875,6.2037,27.4,6927000.0,17598,706,0.25,4.01
Slovenia,4.9933,18.9196,1.1248,0.4739,2.4915,7.6345,5.002,22.5,2103000.0,3389,135,0.16,3.98
Finland,4.5004,26.8865,0.519,0.2468,1.8388,5.1978,3.8325,24.9,5529000.0,8469,337,0.15,3.98
Barbados,3.565,12.4976,0.2212,0.8677,4.3344,8.0666,5.4725,24.8,287000.0,180,7,0.06,3.89
Burkina Faso,15.3706,4.6611,0.0231,0.9503,1.1287,21.2005,1.5036,4.5,20903000.0,1486,56,0.01,3.77
Afghanistan,0.0014,9.4341,0.1973,0.5345,1.3489,24.8097,6.7642,4.5,38928000.0,38572,1420,0.1,3.68
Guatemala,1.7037,10.3765,0.0957,0.8747,5.3058,15.1579,5.7997,18.8,18066000.0,80306,2918,0.44,3.63
Germany,6.7714,20.8485,0.6715,0.8104,2.5069999999999997,6.0363,5.0542,25.7,83300000.0,258149,9345,0.31,3.62
Sierra Leone,0.3009,5.6877,0.0067,1.276,0.6323,19.9349,4.5526,7.5,7977000.0,2069,72,0.03,3.48
Algeria,0.2711,9.6334,0.0282,1.031,1.8342,13.6816,11.6484,26.6,44357000.0,47488,1591,0.11,3.35
Vietnam,1.4591,8.5765,0.16399999999999998,0.2201,1.2846,16.874000000000002,11.9508,2.1,96209000.0,1059,35,0.0,3.31
Denmark,4.8866,23.2141,1.2415,0.0915,2.8728,6.7226,5.2431,21.3,5829000.0,19353,629,0.33,3.25
Colombia,3.1032,12.821,0.0814,0.9454,4.7518,8.1055,3.0981,22.1,49444000.0,694664,22275,1.4,3.21
Antigua and Barbuda,3.5764,16.6613,0.0087,0.8102,3.8749,5.996,5.4495,19.1,98000.0,95,3,0.1,3.16
Malawi,1.1827,2.7754,0.0814,0.204,0.6412,10.6197,3.9786,4.7,19130000.0,5655,176,0.03,3.11
Honduras,2.0662,13.6048,0.1378,1.2467,5.9591,14.1699,2.6599,19.4,9864000.0,65802,2049,0.67,3.11
Brazil,4.3629,17.347,0.2803,1.2823,2.7755,8.4292,3.307,22.3,211812000.0,4238446,129522,2.0,3.06
Bosnia and Herzegovina,4.7876,12.4319,0.0585,0.4205,1.6391,8.7152,11.6394,19.4,3281000.0,22544,680,0.69,3.02
Gambia,2.8419,10.1417,0.0114,2.2026,4.1176,21.8908,2.4575,8.7,2417000.0,3330,100,0.14,3.0
US,4.8647,21.2352,0.1681,0.9889,3.32,5.5048,5.7249,37.3,329878000.0,6396551,191766,1.94,3.0
Australia,5.5436,21.4175,0.3143,1.2798,2.5364,5.4979,5.1406,30.4,25754000.0,26564,797,0.1,3.0
Nicaragua,1.7194,13.1538,0.0836,0.9227,5.7021,16.8052,3.5808,21.8,6596000.0,4818,144,0.07,2.99
Portugal,4.7147,18.6614,0.4077,0.7246,1.7316,6.2984,7.3366,23.2,10255000.0,62126,1852,0.61,2.98
Albania,1.6719,18.7684,0.1357,0.3261,1.5367,5.7817,11.7753,22.3,2838000.0,10860,324,0.38,2.98
Poland,6.8201,16.559,0.9842,0.3959,2.4775,7.9033,6.8655,25.6,38368000.0,72453,2159,0.19,2.98
Zimbabwe,4.0552,8.1489,0.0755,1.7103,4.6485,22.624000000000002,2.3213,12.3,14863000.0,7453,222,0.05,2.98
El Salvador,2.1651,12.888,0.1113,0.4565,3.5260000000000002,11.7265,7.2703,22.7,6481000.0,26688,774,0.41,2.9
Iraq,0.1915,6.2809,0.0423,2.0139,3.3755,24.0855,4.9563,27.4,39725000.0,278418,7814,0.7,2.81
Guyana,1.8708,9.1155,0.0206,0.2779,3.2325,9.7847,15.2061,19.2,787000.0,1750,49,0.22,2.8
Mauritius,3.0805,9.27,0.0074,2.049,3.568,17.1855,6.7122,11.5,1265000.0,361,10,0.03,2.77
Chile,4.968999999999999,15.0394,0.1782,0.5435,3.5582,10.8579,5.3092,28.8,19470000.0,428669,11781,2.2,2.75
Lithuania,5.5419,23.049,0.5316,0.4924,4.502,6.4732,4.4045,28.4,2794000.0,3199,86,0.11,2.69
Lesotho,3.4135,6.0914,0.0233,0.6786,2.2079,23.4645,3.3721,13.5,2142000.0,1164,31,0.05,2.66
Moldova,3.8296,16.5343,0.4339,0.825,2.6632,11.6462,6.4285,20.1,3535000.0,41704,1106,1.18,2.65
Uruguay,3.5664,17.8865,0.21,1.0337,3.4102,10.251,3.9333,28.9,3531000.0,1759,45,0.05,2.56
Haiti,1.2733,3.5986,0.0402,0.8742,2.0961,13.4196,2.0302,20.5,11403000.0,8429,215,0.07,2.55
Estonia,6.1949,22.3154,0.4556,0.3472,2.3886,6.3498,4.9558,23.8,1331000.0,2600,64,0.2,2.46
Latvia,5.4573,18.8216,1.1805,0.6990000000000001,2.6169,6.3952,6.1946,25.7,1902000.0,1448,35,0.08,2.42
Turkey,0.6474,12.3156,0.1459,1.0174,1.7004,9.708,13.5284,32.2,83737000.0,286455,6895,0.34,2.41
Togo,1.0144,3.6702,0.0292,1.4099,1.8312,15.8144,2.1637,7.1,8279000.0,1537,37,0.02,2.41
Austria,7.0215,19.5654,0.8555,0.8109,2.6094,6.2116,5.1098,21.9,8914000.0,31247,748,0.35,2.39
Greece,2.2879,17.6914,0.2116,1.5237,1.7744,7.2801,7.9134,27.4,10700000.0,12452,297,0.12,2.39
South Africa,6.2658,11.8433,0.0593,1.1726,4.4677,17.1035,3.7632,27.0,59628000.0,644438,15265,1.08,2.37
Kyrgyzstan,0.6313,15.4588,0.191,0.355,3.2495,10.1059,11.3219,15.4,6594000.0,44684,1061,0.68,2.37
Cuba,2.0589,10.0096,0.1202,0.4535,3.1617,9.9309,8.374,26.7,11281000.0,4551,106,0.04,2.33
Bahamas,2.0175,11.4718,0.0062,0.511,6.2151,3.7246,7.7649,32.1,393000.0,2721,63,0.69,2.32
Serbia,4.3919999999999995,16.7466,0.2524,0.4644,2.0255,9.7485,7.3941,23.5,6957000.0,32136,729,0.46,2.27
Zambia,5.736000000000001,6.0197,0.0829,0.6657,1.5632,21.1938,3.4649,6.5,18384000.0,13214,300,0.07,2.27
Mauritania,0.0055,15.0193,0.1127,1.5716,4.3166,20.4873,3.9784,11.3,4650000.0,7222,161,0.16,2.23
Norway,3.7939,21.1992,0.6119,0.8697,2.2652,5.9777,3.9131,25.0,5387000.0,11867,265,0.22,2.23
Panama,6.6254,12.3346,0.2467,0.7645,4.2277,14.2627,1.9480000000000002,22.5,4283000.0,99715,2127,2.33,2.13
Pakistan,0.0085,22.2758,0.0969,0.3417,2.6707,14.6224,2.2173,7.8,220940000.0,300371,6370,0.14,2.12
Suriname,4.1704,6.7984,0.0438,1.3351,4.7051,13.9476,5.3705,26.5,605000.0,4477,93,0.74,2.08
Argentina,4.2672,19.3454,0.2234,0.9541,3.0536,8.4102,4.3503,28.5,45377000.0,524198,10907,1.16,2.08
Senegal,0.3209,5.3434,0.0353,1.9325,2.0941,25.9204,7.8951,7.4,16744000.0,14150,293,0.08,2.07
Cameroon,5.156000000000001,2.9330000000000003,0.0146,0.6398,0.6479,10.3112,8.859,9.5,26598000.0,20009,415,0.08,2.07
Ukraine,2.625,13.1214,0.1753,0.647,3.8811,9.3613,9.4361,26.1,41778000.0,149146,3079,0.36,2.06
Armenia,0.4014,13.564,0.1833,0.4705,2.6579,7.2982,16.7019,20.9,2956000.0,45326,906,1.53,2.0
Eswatini,6.2239,7.4118,0.1024,0.3258,3.1796,14.7814,2.5701,13.5,1104000.0,4994,98,0.45,1.96
Nigeria,4.0037,1.7391,0.0151,0.8573,0.6501,10.922,6.2627,7.8,206140000.0,55829,1075,0.03,1.93
Japan,4.044,15.3194,0.0751,1.3445,2.2055,12.1692,7.8669,4.4,125967000.0,73916,1416,0.06,1.92
Paraguay,3.9095,11.2654,0.2191,1.0733,2.4084,7.5639,3.7113,19.0,7255000.0,25631,485,0.35,1.89
Dominican Republic,3.21,11.2417,0.1122,1.2948,2.1332,6.9232,2.7385,26.9,10500000.0,101716,1926,0.97,1.89
Morocco,0.287,8.4754,0.1449,0.8168,2.6816,18.7029,7.2860000000000005,25.6,35952000.0,79767,1491,0.22,1.87
Montenegro,2.2188,22.8328,0.2067,0.4258,6.0418,5.0447,5.0001,24.9,622000.0,6222,114,1.0,1.83
Benin,5.9019,3.7504,0.0132,0.7381,0.6635,9.623,4.1964,8.2,12209000.0,2242,40,0.02,1.78
Luxembourg,8.0858,14.6038,0.5443,0.563,8.1121,5.1366,4.8536,24.2,632000.0,7088,124,1.12,1.75
Russia,3.7425,16.1525,0.2486,0.8663,4.6144,8.2803,6.3713,25.7,146733000.0,1042836,18207,0.71,1.75
Kenya,1.9664,11.4394,0.1175,0.6689,1.8098,15.1221,4.345,6.0,53528000.0,35603,612,0.07,1.72
Guinea-Bissau,2.4603,4.9295,0.0423,1.8016,0.7893,21.6069,2.3642,8.2,1927000.0,2275,39,0.12,1.71
Thailand,3.6223,7.7828,0.0902,0.7816,4.0424,17.5571,3.5962,10.8,66534000.0,3461,58,0.01,1.68
Tunisia,0.7037,9.6312,0.2083,1.2551,2.0832,12.0523,15.7731,27.3,11896000.0,5882,99,0.05,1.68
India,0.1959,11.3357,0.0028,0.7487,1.7471,17.3821,7.5213,3.8,1400100000.0,4562414,76271,0.33,1.67
Sao Tome and Principe,1.5187,4.1199,0.022000000000000002,0.7805,2.5939,7.3796,0.857,10.6,210000.0,901,15,0.43,1.66
Philippines,1.9716,6.7108,0.3074,0.4119,2.3774,20.0498,5.4481,6.0,109581000.0,248947,4066,0.23,1.63
Croatia,4.9846,17.311,0.2296,0.3808,3.088,5.7726,12.5188,27.1,4020000.0,12917,208,0.32,1.61
"Korea, South",4.8669,11.8174,0.2553,1.1663,2.4835,11.7286,12.3349,4.9,51781000.0,21919,350,0.04,1.6
Trinidad and Tobago,2.4881,12.7835,0.2804,1.2563,5.62,13.0903,3.5256,19.7,1369000.0,2698,43,0.2,1.59
Ethiopia,2.4543,5.2956,0.0276,0.4699,1.317,22.0779,1.8449,3.6,114916000.0,62578,974,0.05,1.56
Kazakhstan,2.1919,19.1598,0.3611,1.1215,1.456,6.5119,10.2055,21.3,18732000.0,106661,1634,0.57,1.53
Azerbaijan,3.5969,11.6416,0.2544,0.2235,1.5523,13.0898,10.0755,19.9,10108000.0,37874,556,0.37,1.47
Cyprus,3.4447,16.1736,0.0277,1.1937,4.2194,7.0646,7.3888,22.6,1207000.0,1517,22,0.13,1.45
Bangladesh,0.0031,5.1926,0.0156,0.7615,0.9285,29.8045,3.6405,3.4,169809000.0,332970,4634,0.2,1.39
Czechia,9.8498,17.8065,0.8945,0.9854,3.8081,5.6937,4.5289,28.5,10716000.0,32413,448,0.3,1.38
New Zealand,5.222,17.5777,0.7446,0.5364,3.8188,7.7522,6.6889,32.0,4987000.0,1793,24,0.04,1.34
Malaysia,0.8948,12.6354,0.0882,1.6336,3.903,17.3088,6.1678,15.3,32781000.0,9628,128,0.03,1.33
Madagascar,0.7972,4.9125,0.0415,0.3115,1.0922,19.9604,1.8871,4.5,27691000.0,15624,208,0.06,1.33
Belize,3.3803,8.6856,0.0832,1.0198,3.9798,11.07,4.7721,22.4,419000.0,1365,18,0.33,1.32
Central African Republic,1.7435,6.9032,0.1228,0.7240000000000001,0.7022,3.8844,1.9214,6.3,4830000.0,4747,62,0.1,1.31
Saudi Arabia,0.0,12.9962,0.3917,1.7626,2.8571,16.3284,5.7024,35.0,35041000.0,323720,4189,0.92,1.29
Jamaica,2.4636,11.9958,0.2074,0.7584,4.6889,8.5031,6.4772,24.4,2809000.0,3511,40,0.12,1.14
Djibouti,0.3778,5.5215,0.0579,1.6153,4.2005,20.2702,9.7637,12.2,988000.0,5394,61,0.55,1.13
Uganda,6.1671,5.6473,0.0352,0.7440000000000001,1.2601,6.747999999999999,2.6703,4.1,45741000.0,4291,48,0.01,1.12
Costa Rica,1.6982,18.677,0.1529,1.4363,3.9006,8.6611,2.9837,25.7,5111000.0,52549,567,1.03,1.08
Namibia,5.4716,9.6094,0.1134,0.9531,3.9848,9.9189,2.3626,15.0,2541000.0,9256,96,0.36,1.04
Georgia,2.5343,15.5347,0.2356,0.6679999999999999,3.3110000000000004,15.6253,4.0993,23.3,3715000.0,1830,19,0.05,1.04
Belarus,3.7563,12.7089,0.3353,0.8804,4.0155,6.2814,8.7859,26.6,9375000.0,73591,732,0.78,0.99
Lebanon,0.7164,8.0679,0.0796,1.4807,5.1366,11.8253,10.5128,31.3,6825000.0,22437,219,0.33,0.98
Cabo Verde,3.9814,9.7559,0.0363,0.9471,2.1396,14.7961,6.6338,10.6,556000.0,4557,43,0.82,0.94
Oman,0.2621,13.5101,0.0571,0.6995,2.5903,9.6835,10.8902,22.9,4713000.0,88337,762,1.87,0.86
Tajikistan,0.1423,7.2363,0.0018,0.8419,1.6607,13.3691,19.2995,12.6,9429000.0,8939,72,0.09,0.81
Uzbekistan,0.6835,14.4463,0.1353,0.6109,0.5796,10.5365,14.8354,15.3,34174000.0,45473,370,0.13,0.81
Venezuela,2.5952,14.7565,0.0403,1.3734,3.4106,12.9253,4.1474,25.2,28645000.0,57823,460,0.2,0.8
Israel,1.2876,18.7463,0.1026,1.6743,1.7747,7.6277,8.8586,26.7,9216000.0,145526,1077,1.58,0.74
Jordan,0.0846,9.3186,0.1162,1.9861,4.7276,14.138,10.6308,33.4,10679000.0,2739,20,0.03,0.73
Slovakia,6.1266,18.9841,1.3559,1.4380000000000002,5.5166,5.4026,4.5601,22.4,5462000.0,5066,37,0.09,0.73
Burma,0.2195,13.5188,0.1751,0.6322,2.8592,16.7608,7.0725,5.7,54704000.0,2150,14,0.0,0.65
Malta,3.9051,13.6092,0.2062,0.486,5.2164,7.8996,11.2856,31.0,522000.0,2204,14,0.42,0.64
Mozambique,1.2195,4.0111,0.0297,0.7509,1.0649,13.1904,2.7738,6.0,31166000.0,4832,31,0.02,0.64
Guinea,0.311,3.8776,0.0213,1.3271,1.3368,17.2911,4.4286,6.6,12560000.0,9946,63,0.08,0.63
Nepal,0.3318,5.4355,0.0312,0.8209,0.547,18.1511,9.277000000000001,3.8,29996000.0,50465,317,0.17,0.63
Cote d'Ivoire,1.4487,2.9144,0.0132,0.8656,0.7859,11.4585,2.8098,9.0,26175000.0,18869,119,0.07,0.63
Ghana,0.9444,2.8956,0.0088,0.3655,0.8128,6.3229999999999995,1.6849,9.7,31073000.0,45313,283,0.15,0.62
Gabon,6.1881,8.1825,0.0109,0.4824,1.2508,9.1158,2.3979,13.4,2231000.0,8621,53,0.39,0.61
Kuwait,0.0044,10.7213,0.0022,1.1976,2.9163,11.4132,12.9953,37.0,4691000.0,92822,556,1.98,0.6
United Arab Emirates,0.0,10.5491,0.1896,0.7949,3.6576,12.905999999999999,8.2695,29.9,9778000.0,76911,398,0.79,0.52
Rwanda,1.3631,2.6366,0.0186,0.2109,0.5782,3.5380000000000003,2.7193,4.8,12952000.0,4479,22,0.03,0.49
Iceland,4.7545,23.97,0.9461,0.4667,3.9472,4.1196,3.6874,23.1,368000.0,2157,10,0.59,0.46
Botswana,4.2717,14.4486,0.3402,1.0065,4.7857,11.432,4.0558,16.1,2317000.0,2252,10,0.1,0.44
Sri Lanka,0.6809999999999999,5.5328,0.0147,0.2466,2.7209,20.7839,4.8753,5.4,21937000.0,3155,12,0.01,0.38
Maldives,0.6859,14.2704,0.0029,0.1819,2.9789999999999996,11.5385,7.718,7.9,541000.0,8900,31,1.65,0.35
Laos,0.7883,3.6579,0.0979,0.2149,1.1101,16.3943,11.640999999999998,4.5,7242000.0,22,0,0.0,0.0
Grenada,3.1315,12.1319,0.1276,0.9959,5.4479999999999995,7.6569,3.6085,20.2,113000.0,24,0,0.02,0.0
Mongolia,3.1430000000000002,25.8904,0.3846,0.555,1.4680000000000002,10.1415,4.3326,19.6,3361000.0,311,0,0.01,0.0
Dominica,0.941,8.9011,0.0319,0.3797,3.1738,3.4014,4.6371,28.2,72000.0,24,0,0.03,0.0
Timor-Leste,0.4459,5.4983,0.0897,0.6842,2.8203,26.331999999999997,3.1867,2.9,1318000.0,27,0,0.0,0.0
Cambodia,4.5783,6.08,0.0377,0.2511,2.9923,24.8906,3.0072,3.5,15497000.0,274,0,0.0,0.0
Saint Kitts and Nevis,4.0867,14.0252,0.1735,1.385,6.4623,6.3135,4.209,23.1,54000.0,17,0,0.03,0.0
Saint Lucia,7.8024,14.8893,0.0252,0.6103,3.7043,7.2091,4.1169,19.8,182000.0,27,0,0.01,0.0
Saint Vincent and the Grenadines,2.526,11.0865,0.022000000000000002,0.7227,3.4592,9.0142,5.1371,23.8,111000.0,62,0,0.06,0.0
